routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
1050;nap_gellert_e;C76796194.0;1;4.105396825396825;24.11;262.1;0.4300000000000068;-9.860000000000014;0.3;2;168.69767504698885
1050;nap_gellert_e;C76796318.0;1;4.184516129032257;23.05;262.1;0.4300000000000068;-9.900000000000006;0.3;2;167.1258123876701
1780;nap_gellert_e;C774343849.0;1;6.03456043956044;37.77;1103.9;2.890000000000015;-24.080000000000013;0.3;3;428.1660507479552
1100;nap_gellert_e;C77569427.0;1;1.3420581155433289;5041.5;7823.75;292.74;-103.45999999999997;0.3;14;5567.606883655012
1120;nap_gellert_e;C77569447.0;1;1.1754716699058154;5924.58;7862.41;294.1200000000001;-104.66000000000012;0.3;14;6038.592404895227
1100;nap_gellert_e;C77569724.0;1;1.5667386311437763;1828.21;3414.98;38.17999999999991;-117.0899999999999;0.3;10;2282.814128044944
70;nap_gellert_e;C78013126.0;1;4.066654320987655;440.45;3294.68;90.09;-89.92999999999998;0.3;7;1196.941336880206
70;nap_gellert_e;C78013806.0;1;4.583788300835654;348.64;3294.68;89.57999999999998;-89.94999999999997;0.3;7;1163.7450834873966
50;nap_gellert_e;C78105432.0;1;8.70722891566265;25.64;2169.76;79.08999999999996;-63.13999999999996;0.3;2;508.8629500012864
1500;nap_gellert_e;C78144121.0;1;5.693532934131736;136.76;1904.06;22.03;-16.769999999999996;0.3;6;679.6654983257656
1500;nap_gellert_e;C78144138.0;1;4.0963787878787885;223.51;2706.75;19.91000000000001;-28.85000000000001;0.3;7;1096.236149083942
85;nap_gellert_e;C782451120.0;1;1.3082369768142128;5623.67;8690.53;239.01;-192.97;0.3;18;5268.46434786636
85;nap_gellert_e;C782451142.0;1;2.2887620396600568;2240.5;8086.14;172.97999999999988;-219.32999999999987;0.3;19;3502.7185193039
85;nap_gellert_e;C782451881.0;1;2.6457312252964424;1841.76;8038.64;172.92999999999998;-219.58;0.3;19;3279.439919276838
85;nap_gellert_e;C78245214.0;1;1.506864732610975;4711.52;8637.2;238.31999999999985;-192.27999999999983;0.3;18;4797.370727596565
85;nap_gellert_e;C78245617.0;1;2.816008330440819;1650.91;8114.45;173.69;-219.57;0.3;19;3228.144741692928
85;nap_gellert_e;C78245945.0;1;3.607019673503558;1431.03;8635.9;239.66;-193.62;0.3;18;3116.7662024453216
1335;nap_gellert_e;C782574680.0;1;5.510857605177994;244.08;3407.49;99.59999999999998;-102.03;0.3;4;1048.0847295966416
2400;nap_gellert_e;C6359838.0;2;4.171242236024845;83.89;673.45;8.440000000000012;-10.760000000000003;0.3;2;285.3024732757994
150;nap_gellert_e;C7246892.0;2;6.802989690721649;28.01;660.1;2.4599999999999937;-2.3100000000000023;0.3;2;223.8154771791297
270;nap_gellert_e;C734723628.0;2;5.68216848673947;124.82;3647.97;105.57999999999996;-68.40999999999997;0.3;12;1143.6283656497606
2120;nap_gellert_e;C745091034.0;2;1.1190503715937243;3177.24;4069.43;22.15999999999996;-79.09999999999995;0.3;11;3104.535302466679
2120;nap_gellert_e;C74509178.0;2;4.149884332281808;546.56;3968.76;81.22999999999996;-24.669999999999973;0.3;11;1749.6817323641276
2120;nap_gellert_e;C74509586.0;2;2.0317831449126413;1540.78;3999.05;81.17;-24.610000000000014;0.3;11;2246.097558846017
2121;nap_gellert_e;C74509688.0;2;2.256512557077626;1219.1;4000.9;81.23000000000006;-24.67000000000008;0.3;11;2151.282940647277
1070;nap_gellert_e;C74750329.0;2;5.339655172413793;262.44;3407.49;99.67;-101.92;0.3;5;1039.2621971399851
530;nap_gellert_e;C76194424.0;2;5.203797709923664;239.41;2727.45;20.169999999999973;-29.229999999999976;0.3;7;1032.078008511466
530;nap_gellert_e;C761944419.0;2;5.125309973045822;173.76;1904.06;22.22999999999999;-16.97999999999999;0.3;6;705.5828278456661
530;nap_gellert_e;C761944437.0;2;5.599404517453799;208.96;2727.45;20.359999999999985;-29.419999999999987;0.3;7;996.1734573027104
580;nap_gellert_e;C7644455.0;2;3.112861271676301;226.09;1077.56;18.090000000000018;-10.620000000000005;0.3;3;493.9935898227701
1140;nap_gellert_e;C7664711174.0;2;3.013383177570093;378.89;1612.25;12.149999999999975;-21.829999999999984;0.3;4;744.9853868196801
2130;nap_gellert_e;C76647148.0;2;4.380951086956522;211.88;1612.25;12.019999999999982;-21.69999999999999;0.3;4;627.1614029611603
1140;nap_gellert_e;C7664715100.0;2;3.124244186046512;359.88;1612.25;12.11;-21.790000000000006;0.3;4;707.9394217682784
2130;nap_gellert_e;C766473397.0;2;4.375284552845528;126.24;1077.56;18.04000000000002;-10.580000000000013;0.3;3;447.4080295021666
2100;nap_gellert_e;C76796162.0;2;6.872063492063492;11.7;433.36;6.70999999999998;-3.2399999999999807;0.3;2;131.31930940377285
1050;nap_gellert_e;C76796194.0;2;4.152380952380953;23.83;262.1;0.4200000000000159;-9.990000000000007;0.3;2;167.60595172491665
1050;nap_gellert_e;C76796318.0;2;4.241639344262296;22.12;262.1;0.4300000000000068;-9.860000000000014;0.3;2;164.47562422739827
1780;nap_gellert_e;C774343849.0;2;6.37168604651163;36.08;1103.9;2.9000000000000057;-23.950000000000017;0.3;3;426.7271899362321
